X_TREE	Y_TREE	BAREA	DBH	VOL	SPP
243.95	299.43	0.05	26	0.58	4
247.1	300.31	0.06	28	0.71	4
245.44	301.84	0.01	13	0.09	4
246	305.18	0.04	23	0.43	4
242.11	302.29	0.06	27	0.64	4
240.48	299.76	0.07	30	0.84	4
237.51	298.68	0.03	18	0.22	4
236.21	298.22	0.07	30	0.84	4
235.74	301.57	0.1	36	1.33	4
233.07	301.01	0.05	24	0.47	4
231.56	300.51	0.02	17	0.19	4
232.14	299.11	0.01	13	0.09	4
233.3	304.11	0.02	14	0.11	4
235.33	303.65	0.09	34	1.15	4
239.06	305.53	0.03	21	0.34	4
240.33	306.17	0.04	23	0.43	4
241.5	307.49	0.07	30	0.84	4
245.39	308.12	0.06	27	0.64	4
246.17	309.69	0.01	13	0.09	4
242.28	311.8	0.05	26	0.58	4
240.72	312.13	0.02	14	0.11	4
236.73	307.29	0.01	12	0.08	4
235.45	308.76	0.09	34	1.15	4
234.62	311.64	0.03	18	0.22	4
235.89	313.22	0.03	19	0.26	4
236.76	314.18	0.02	16	0.16	0
234.95	315.64	0.01	12	0.08	4
235.35	316.81	0.01	13	0.09	0
232.23	315.16	0.02	15	0.14	4
232.24	319.17	0.02	14	0.11	4
231.44	317.66	0.02	14	0.11	4
229.74	316.77	0.03	18	0.22	4
227.8	318.47	0.02	14	0.11	4
233.19	310.72	0.03	19	0.26	4
229.77	311.6	0.03	19	0.26	4
228.57	309.37	0.02	14	0.11	4
227.45	312.02	0.01	13	0.09	4
226	314.27	0.03	19	0.26	4
225.66	311.15	0.02	17	0.19	4
223.04	315.29	0.01	13	0.09	4
222.67	313.54	0.02	14	0.11	4
224.51	310.05	0.01	12	0.08	4
225.5	306.43	0.02	15	0.14	4
227.72	304.9	0.03	18	0.22	4
227.39	302.47	0.01	13	0.09	4
224.69	304.5	0.02	16	0.16	4
223.53	309.4	0.02	16	0.16	4
221.94	309.64	0.02	17	0.19	4
218.68	312.22	0.02	15	0.14	4
217.71	311.44	0.03	21	0.34	4
216.79	309.2	0.01	12	0.08	4
219.45	308.42	0.02	16	0.16	4
220.28	307.33	0.01	12	0.08	4
221.25	305.05	0.01	12	0.08	4
223.01	303.54	0.02	16	0.16	4
222.04	302.08	0.02	16	0.16	4
224.3	300.15	0.07	29	0.77	4
220.13	302.13	0.02	17	0.19	4
219.23	304.27	0.01	13	0.09	4
218.62	306.9	0.01	12	0.08	4
216.41	306.16	0.03	19	0.26	4
214.09	307.93	0.02	17	0.19	4
214.13	309.89	0.01	13	0.09	4
214	303.29	0.01	13	0.09	4
212.84	301.67	0.02	17	0.19	4
217.48	302.07	0.03	18	0.22	4
217.74	299.55	0.01	13	0.09	4
219.5	300.37	0.01	13	0.09	4
214.96	297.27	0.01	13	0.09	0
218.49	297.81	0.01	12	0.08	4
219.22	297.14	0.01	12	0.08	4
220.91	298.23	0.01	13	0.09	4
223.15	296.49	0.02	14	0.11	4
223.59	294.08	0.02	14	0.11	4
226.01	296.42	0.03	18	0.22	4
227.37	295.8	0.01	12	0.08	4
229.11	295.89	0.02	14	0.11	4
230.61	295.03	0.01	12	0.08	4
231.32	294.56	0.02	14	0.11	4
226.07	293.41	0.01	13	0.09	4
226.04	291.09	0.02	15	0.14	4
231.54	290.32	0.05	25	0.53	4
234.39	291.75	0.02	17	0.19	4
233.15	288.91	0.03	20	0.3	4
229.02	288.28	0.03	18	0.22	4
230.53	285.64	0.03	20	0.3	4
232.16	284.45	0.02	14	0.11	4
233.37	283.34	0.02	17	0.19	4
232.34	281.04	0.01	12	0.08	4
230.75	282.01	0.01	12	0.08	4
227.72	285.16	0.02	15	0.14	4
228.96	286.57	0.01	12	0.08	4
227.29	283.95	0.02	16	0.16	4
228.41	281.46	0.02	15	0.14	4
228.48	280.02	0.01	12	0.08	4
231.08	278.99	0.02	17	0.19	4
232.06	277.44	0.01	12	0.08	0
220.25	301.97	0.01	13	0.09	4
225.6	279.72	0.02	15	0.14	4
224.8	277.88	0.01	12	0.08	4
226.94	276.28	0.02	15	0.14	4
224.96	274.57	0.01	12	0.08	4
226.75	274.31	0.01	12	0.08	4
229.5	273.84	0.02	17	0.19	4
225.22	272.31	0.01	12	0.08	4
228.07	269.27	0.02	17	0.19	4
227.81	272.08	0.01	12	0.08	4
217.33	372.11	0.24	55	3.62	5
217.51	368.82	0.22	53	3.33	4
217.4	368.08	0.02	15	0.14	1
217.57	363.72	0.03	19	0.26	0
228.86	363.99	0.28	60	4.41	4
222.39	366.22	0.2	51	3.05	4
225.62	369	0.3	62	4.74	4
222.28	376.74	0.25	56	3.77	0
228.64	384.51	0.11	37	1.42	3
227.65	387.92	0.08	31	0.91	7
226.22	387.06	0.05	25	0.53	0
219.68	384.97	0.25	56	3.77	2
216.04	386.93	0.19	49	2.78	3
212.04	386.98	0.17	47	2.52	0
214.42	383.66	0.1	36	1.33	2
215.72	381.34	0.07	29	0.77	0
205.71	385.5	0.2	51	3.05	5
207.51	383.58	0.1	35	1.24	5
200.17	388.05	0.12	39	1.61	5
198.26	391.55	0.21	52	3.19	4
199.07	390.91	0.02	16	0.16	3
204.37	398.56	0.21	52	3.19	0
206.99	397.7	0.05	25	0.53	0
209.14	400.23	0.13	40	1.71	2
201.66	405.69	0.1	35	1.24	3
199.49	401.75	0.25	56	3.77	0
191.81	387.51	0.07	29	0.77	4
187.11	387.1	0.26	57	3.93	4
192.93	383.4	0.23	54	3.48	4
197.66	380.64	0.03	19	0.26	3
201.08	379.41	0.01	13	0.09	1
201.5	377.44	0.37	69	5.97	4
206.76	371.25	0.34	66	5.43	5
201.77	372.78	0.03	19	0.26	1
199.59	370.99	0.23	54	3.48	4
196.69	371.84	0.13	40	1.71	4
192.9	370.29	0.23	54	3.48	4
195.86	374.23	0.03	18	0.22	3
212.32	376.01	0.01	12	0.08	1
228.05	362.03	0.02	17	0.19	0
176.26	371.18	0.41	72	6.53	5
178.57	369.33	0.25	56	3.77	4
183.72	377.39	0.37	69	5.97	4
184.65	380.61	0.02	15	0.14	3
180.82	379.41	0.02	15	0.14	0
180.42	381.42	0.03	18	0.22	1
188.69	378.3	0.12	39	1.61	5
188.52	378.03	0.02	16	0.16	3
188.86	375.71	0.02	17	0.19	1
187.36	374.21	0.16	45	2.27	4
191.03	375.41	0.11	38	1.51	4
153.4	411.5	0.14	42	1.93	5
158.06	418.6	0.37	69	5.97	4
160.29	416.62	0.26	57	3.93	5
164.38	419.15	0.3	62	4.74	5
166.69	424.08	0.28	60	4.41	0
172.95	422.62	0.11	37	1.42	2
172.13	419.21	0.11	38	1.51	0
134.77	427.62	0.02	15	0.14	0
176.88	414.87	0.32	64	5.08	4
183.64	417.52	0.2	50	2.91	4
186.65	412.53	0.15	44	2.16	4
182.86	411.06	0.12	39	1.61	0
186.16	408.63	0.17	46	2.4	7
190.78	412.78	0.22	53	3.33	0
193.14	409.35	0.26	58	4.08	0
193.82	396.65	0.17	46	2.4	5
189.06	400.74	0.18	48	2.65	4
188.12	399.82	0.03	19	0.26	3
185.15	396.06	0.24	55	3.62	5
185.93	391.27	0.16	45	2.27	4
151.84	401.23	0.28	60	4.41	4
181.32	389.07	0.38	70	6.15	4
179.96	390.21	0.02	15	0.14	0
179.16	396.13	0.16	45	2.27	5
182.54	403.25	0.38	70	6.15	5
178.51	409.69	0.23	54	3.48	5
175.37	411.15	0.23	54	3.48	4
175.17	406.15	0.32	64	5.08	4
166.75	410.4	0.15	43	2.04	5
169.56	416.06	0.15	43	2.04	4
163.05	411.46	0.24	55	3.62	4
158.6	410.03	0.05	24	0.47	4
159.65	403.93	0.24	55	3.62	5
162.83	405.18	0.1	36	1.33	4
163.19	400.97	0.14	42	1.93	4
169.15	401.94	0.21	52	3.19	4
171.14	400.67	0.2	51	3.05	4
171.7	398.16	0.12	39	1.61	4
174.03	396.78	0.01	13	0.09	3
166.94	396.5	0.02	16	0.16	1
174.7	392.71	0.18	48	2.65	5
173.99	389	0.37	69	5.97	5
167.97	389.06	0.19	49	2.78	2
161.99	389.23	0.02	15	0.14	0
161.06	395.74	0.16	45	2.27	4
154.6	394.57	0.27	59	4.24	5
151.63	398.4	0.27	59	4.24	5
169.78	380.98	0.07	30	0.84	0
172.32	379.01	0.35	67	5.61	4
165.62	382.12	0.02	14	0.11	5
164.66	379.05	0.53	82	8.52	4
164.48	378.58	0.03	20	0.3	5
156.6	382.69	0.18	48	2.65	2
142.77	391.35	0.04	23	0.43	3
144.38	387.12	0.57	85	9.14	0
139.72	383.68	0.13	40	1.71	0
135	382.17	0.26	58	4.08	2
130.48	387.96	0.17	47	2.52	5
126.4	387.64	0.09	34	1.15	0
128.38	393.4	0.09	33	1.07	0
140.86	399.15	0.3	62	4.74	5
136.97	402.94	0.25	56	3.77	0
138.53	407.57	0.26	57	3.93	0
128.6	405.91	0.24	55	3.62	3
129.33	415.07	0.15	43	2.04	4
135.06	414.89	0.17	47	2.52	5
125.88	425.66	0.28	60	4.41	2
132.79	428.6	0.27	59	4.24	0
133.25	432.36	0.02	16	0.16	3
132.63	436.13	0.2	50	2.91	4
140.59	435	0.38	70	6.15	0
143.03	437.63	0.04	22	0.38	3
147.75	432.79	0.31	63	4.91	0
148.43	427.09	0.24	55	3.62	5
150.75	421.8	0.04	23	0.43	1
141	425.54	0.34	66	5.43	0
141.11	411.14	0.03	18	0.22	1
142.91	407.02	0.22	53	3.33	0
158.51	424.42	0.02	14	0.11	1
157.09	422.76	0.02	14	0.11	1
145.5	412.63	0.01	13	0.09	4
149.26	409.19	0.01	12	0.08	0
172.53	411.44	0.01	12	0.08	3
173.25	401.11	0.02	16	0.16	1
153.61	403.06	0.17	47	2.52	1
171.96	386.75	0.01	13	0.09	0
131.59	423.51	0.01	12	0.08	1
145.41	418.99	0.01	12	0.08	4
112.92	436.66	0.32	64	5.08	0
118.93	439.15	0.02	14	0.11	3
122.14	433.7	0.2	50	2.91	6
120.58	430.06	0.1	35	1.24	0
127.2	434.4	0.2	51	3.05	4
127.99	437.01	0.01	13	0.09	0
126.04	443.18	0.27	59	4.24	4
122.76	444.92	0.02	14	0.11	0
120.85	442.83	0.24	55	3.62	4
113.2	444.13	0.02	14	0.11	5
121.59	452.24	0.4	71	6.34	5
118.29	454.75	0.27	59	4.24	0
114.15	451.38	0.21	52	3.19	4
107.72	446.51	0.27	59	4.24	2
108.7	447.79	0.01	13	0.09	3
105.54	450.2	0.03	21	0.34	3
125.66	435.71	0.36	68	5.79	0
110.69	457.17	0.12	39	1.61	4
112.35	460.71	0.04	22	0.38	3
107.34	463.22	0.07	29	0.77	0
106.04	463.23	0.03	21	0.34	1
105.66	465.16	0.45	76	7.3	4
101.33	466.91	0.02	17	0.19	0
100.44	467.81	0.01	12	0.08	0
96.41	467.02	0.45	76	7.3	4
96.33	467.64	0.06	28	0.71	3
96.14	459.22	0.08	32	0.99	1
98.59	456.03	0.04	23	0.43	3
93.73	453.52	0.02	17	0.19	3
86.51	452.6	0.01	13	0.09	1
85.8	450.25	0.24	55	3.62	2
83.32	450.03	0.3	62	4.74	0
78.46	441.41	0.01	13	0.09	3
77.87	435.59	0.26	58	4.08	2
81.1	428.31	0.42	73	6.72	0
83.39	423.03	0.25	56	3.77	0
87.24	422.67	0.05	24	0.47	3
91.59	425.62	0.1	35	1.24	4
93.79	425.94	0.13	41	1.82	4
88.18	430.5	0.25	56	3.77	4
85.42	433.23	0.13	40	1.71	5
82.67	436.26	0.08	32	0.99	0
97.69	430.93	0.42	73	6.72	4
100.4	435.71	0.08	31	0.91	0
103.31	432.85	0.26	58	4.08	4
109.64	433.11	0.12	39	1.61	4
105.29	426.28	0.2	51	3.05	4
100.21	423.38	0.32	64	5.08	4
96.21	419.92	0.1	36	1.33	4
93.14	418.83	0.02	14	0.11	3
91.73	415.21	0.37	69	5.97	0
92.78	412.12	0.07	29	0.77	0
97.73	410.65	0.36	68	5.79	4
102.85	407.6	0.41	72	6.53	4
105.23	410.89	0.16	45	2.27	4
105.26	414.47	0.05	24	0.47	3
102.82	417.02	0.29	61	4.57	4
98.86	415.51	0.08	31	0.91	4
110.34	423.24	0.25	56	3.77	4
116.6	415.71	0.38	70	6.15	4
115.88	412.56	0.06	27	0.64	0
114.24	410.74	0.4	71	6.34	4
110.47	409.18	0.21	52	3.19	4
112.68	405.18	0.05	25	0.53	0
119.74	402.56	0.01	12	0.08	3
119.78	405.29	0.17	46	2.4	0
116.89	426.2	0.45	76	7.3	4
124.28	452.5	0.02	17	0.19	1
102.22	440.97	0.22	53	3.33	6
97.37	444.98	0.29	61	4.57	0
93.72	448.14	0.18	48	2.65	6
97.26	447.57	0.02	14	0.11	3
91.04	443.11	0.52	81	8.31	3
109.26	424.9	0.01	13	0.09	1
112.92	421.8	0.01	12	0.08	1
63.75	447.21	0.24	55	3.62	0
67.16	442.31	0.25	56	3.77	2
69.47	435.27	0.15	43	2.04	0
72.78	421.48	0.02	14	0.11	3
74.75	418.3	0.26	58	4.08	0
80.51	410.58	0.02	14	0.11	3
83.53	410.18	0.2	51	3.05	4
84.18	405.92	0.18	48	2.65	3
87.6	407.79	0.09	33	1.07	4
66.43	449.86	0.15	43	2.04	3
70.95	452.26	0.28	60	4.41	2
77.4	457.17	0.15	43	2.04	2
81.49	459.88	0.23	54	3.48	0
82.48	457.58	0.02	14	0.11	3
85.67	457.29	0.01	12	0.08	0
91.7	464.33	0.02	16	0.16	0
86.34	466.81	0.32	64	5.08	3
93.73	471.78	0.33	65	5.25	4
92.74	472.46	0.02	14	0.11	0
77.62	476.32	0.01	13	0.09	0
78.35	470.29	0.02	14	0.11	3
78	469.59	0.02	16	0.16	0
76.4	471.34	0.02	16	0.16	3
76.13	471.47	0.15	43	2.04	4
76.05	463.34	0.28	60	4.41	4
70.89	465.54	0.15	44	2.16	3
69.56	457.31	0.09	34	1.15	0
67.03	457.13	0.22	53	3.33	3
66.74	453.39	0.01	13	0.09	5
60.1	457.38	0.19	49	2.78	4
54.73	459.11	0.02	15	0.14	3
53.94	459.3	0.21	52	3.19	4
62.83	462.47	0.2	50	2.91	2
57.9	464.71	0.08	31	0.91	4
58.4	466.88	0.02	16	0.16	3
55.96	468.96	0.19	49	2.78	2
64.64	470.41	0.27	59	4.24	0
68.6	473.38	0.22	53	3.33	0
75.48	482.15	0.02	17	0.19	0
75.14	484.25	0.34	66	5.43	4
70.98	481.7	0.4	71	6.34	0
69.77	484.26	0.03	20	0.3	3
69.28	487.53	0.04	23	0.43	3
67.23	479.05	0.01	12	0.08	3
65.27	488.32	0.02	14	0.11	3
61.62	488.94	0.03	18	0.22	3
61.48	489.01	0.26	57	3.93	4
60.4	493.99	0.15	43	2.04	0
58.02	493.47	0.31	63	4.91	2
56.53	495.58	0.01	12	0.08	3
54.2	499.59	0.22	53	3.33	3
47.27	503.71	0.1	35	1.24	0
47.04	502.11	0.65	91	10.43	6
38.69	508.98	0.57	85	9.14	6
31.42	508.01	0.3	62	4.74	0
35.21	501.66	0.33	65	5.25	0
36.13	497.47	0.45	76	7.3	6
40.77	499.09	0.13	41	1.82	0
36.92	493.1	0.09	33	1.07	0
41.9	489.13	0.44	75	7.11	3
49.27	494.06	0.41	72	6.53	0
50.6	481.28	0.01	13	0.09	3
53.05	480.97	0.37	69	5.97	4
58.37	480.41	0.35	67	5.61	4
58.37	477.29	0.48	78	7.7	3
52.03	474.38	0.31	63	4.91	4
103.49	370.08	0.22	53	3.33	4
101.21	370.66	0.28	60	4.41	4
90.52	381.53	0.18	48	2.65	0
96.49	384.8	0.24	55	3.62	0
91.99	388.53	0.21	52	3.19	4
88.51	392.92	0.3	62	4.74	6
90.42	394.68	0.09	33	1.07	0
98.77	395.52	0.3	62	4.74	4
101.76	402.04	0.05	26	0.58	0
92.21	398.01	0.24	55	3.62	4
91.42	403.62	0.42	73	6.72	3
85.07	399.36	0.25	56	3.77	0
109.6	376.67	0.2	50	2.91	4
106.41	374.81	0.26	58	4.08	4
105.31	377.38	0.01	13	0.09	5
102.78	381.8	0.23	54	3.48	0
104.51	386.76	0.2	51	3.05	4
104.06	385.78	0.07	30	0.84	0
103.46	390.99	0.24	55	3.62	4
111.53	386.75	0.2	51	3.05	4
115.64	381.69	0.23	54	3.48	4
117.54	398.27	0.17	46	2.4	0
117.42	389.27	0.31	63	4.91	0
120.28	398.36	0.32	64	5.08	5
128.52	383.27	0.25	56	3.77	4
126.36	379.67	0.09	33	1.07	4
119.6	377.1	0.13	40	1.71	4
122.22	376.99	0.21	52	3.19	4
117.8	366.93	0.19	49	2.78	5
116	372.86	0.17	46	2.4	4
115.48	363.99	0.09	33	1.07	0
109.43	369.37	0.3	62	4.74	4
107.12	370.47	0.02	16	0.16	3
116.44	377.59	0.03	18	0.22	0
127.57	372.74	0.03	18	0.22	3
128.86	373.75	0.01	13	0.09	1
147.03	376.88	0.02	16	0.16	1
147.12	371.89	0.19	49	2.78	0
142.45	369.33	0.29	61	4.57	0
139.54	372.54	0.25	56	3.77	4
135.86	370.73	0.02	14	0.11	1
132.21	366.96	0.23	54	3.48	0
128.28	368.17	0.2	50	2.91	0
127.81	363.72	0.15	43	2.04	4
130.67	358.03	0.13	41	1.82	0
144.82	361.95	0.23	54	3.48	0
115.71	349.95	0.29	61	4.57	3
119.61	336.05	0.24	55	3.62	5
121.44	349.23	0.1	35	1.24	4
125.01	345.63	0.01	12	0.08	3
122.38	342.87	0.01	12	0.08	5
124.09	341.41	0.35	67	5.61	4
127.4	343.46	0.33	65	5.25	4
116.12	340.87	0.13	41	1.82	5
117.19	343.97	0.01	12	0.08	1
128.58	331.56	0.26	58	4.08	0
129.89	341.72	0.07	29	0.77	0
131.8	340.77	0.38	70	6.15	0
130.1	351.17	0.2	51	3.05	0
135.34	357.22	0.19	49	2.78	1
140.82	352.54	0.27	59	4.24	0
144.57	339.54	0.47	77	7.5	2
144.08	335.56	0.11	38	1.51	4
143.56	330.44	0.02	16	0.16	3
129.28	321.8	0.06	28	0.71	0
132.35	330.34	0.16	45	2.27	4
139.73	335.89	0.04	23	0.43	1
140.53	330.03	0.17	46	2.4	0
147.43	328.09	0.28	60	4.41	6
153.87	323.93	0.06	28	0.71	5
146.9	320.06	0.29	61	4.57	4
143.46	322.41	0.48	78	7.7	0
137.39	318.84	0.26	57	3.93	0
140.51	314.05	0.21	52	3.19	4
138.2	310.77	0.31	63	4.91	0
142.48	308.12	0.13	41	1.82	4
148.15	304.91	0.17	47	2.52	4
149.14	299.72	0.26	58	4.08	0
153.63	304.16	0.24	55	3.62	6
151.97	305.94	0.2	50	2.91	4
151.47	308.81	0.01	13	0.09	3
152.46	312.56	0.19	49	2.78	6
158.73	306.26	0.18	48	2.65	3
160.57	304.18	0.21	52	3.19	5
169.77	294.99	0.33	65	5.25	0
168.39	288.69	0.45	76	7.3	6
163.55	292.98	0.19	49	2.78	4
153.16	295.46	0.3	62	4.74	4
162.67	284.26	0.35	67	5.61	0
167.81	279.68	0.2	51	3.05	4
173.43	275.79	0.2	51	3.05	2
173.57	278.64	0.15	44	2.16	4
175.15	267.91	0.2	51	3.05	1
171.02	270.12	0.11	38	1.51	4
184.22	278.13	0.26	57	3.93	4
182.37	274.79	0.23	54	3.48	0
186.05	271.28	0.24	55	3.62	4
188.85	270.42	0.01	12	0.08	0
181.79	248.55	0.26	58	4.08	0
175.74	257.61	0.26	58	4.08	3
185.41	256.72	0.14	42	1.93	2
189.92	259.79	0.21	52	3.19	4
196.75	258.9	0.25	56	3.77	4
198.89	261.19	0.21	52	3.19	4
195.97	255.24	0.29	61	4.57	2
190.18	250.64	0.22	53	3.33	3
192.88	246.8	0.17	46	2.4	1
195.35	244.11	0.16	45	2.27	1
188.53	244.02	0.25	56	3.77	1
187.56	235.55	0.13	40	1.71	4
191.19	238.72	0.09	34	1.15	1
191.33	230.99	0.31	63	4.91	4
193.03	227.25	0.13	40	1.71	0
194.35	232.76	0.13	40	1.71	4
199.82	232.8	0.15	44	2.16	4
201.13	242.88	0.19	49	2.78	4
212.7	236.91	0.35	67	5.61	3
219.69	238.87	0.16	45	2.27	6
215.83	243.81	0.23	54	3.48	1
202.71	247.72	0.33	65	5.25	4
211.19	246.32	0.33	65	5.25	4
209.61	250.93	0.31	63	4.91	4
195.72	238.42	0.25	56	3.77	4
216.75	228.06	0.08	32	0.99	4
213.74	231.56	0.27	59	4.24	2
201.76	229.19	0.09	34	1.15	4
203.89	222.07	0.41	72	6.53	4
199.46	219.74	0.29	61	4.57	4
197.17	221.82	0.05	26	0.58	0
196.92	216.71	0.29	61	4.57	4
201.88	209.77	0.29	61	4.57	4
202.15	205.3	0.22	53	3.33	4
206.42	202.06	0.21	52	3.19	0
206.47	208.32	0.03	20	0.3	0
206.29	212.11	0.13	41	1.82	4
204.38	216.09	0.21	52	3.19	0
210.57	214.26	0.11	38	1.51	4
215.13	216.58	0.24	55	3.62	4
217.07	214.22	0.26	57	3.93	3
213.43	207.58	0.15	44	2.16	4
214.35	202.77	0.08	31	0.91	4
222.75	210.35	0.25	56	3.77	0
225.85	215.2	0.37	69	5.97	4
228.65	218.2	0.28	60	4.41	4
233.64	218.86	0.15	44	2.16	4
224.27	220.08	0.02	15	0.14	3
234.26	219.07	0.03	18	0.22	3
226.68	219.39	0.07	29	0.77	0
227.75	223.55	0.37	69	5.97	4
219.34	221.78	0.19	49	2.78	4
218.17	232.14	0.05	25	0.53	0
220.51	233.39	0.26	58	4.08	2
60.45	573.15	0.02	17	0.19	4
56.1	575.58	0.01	13	0.09	4
58.17	576.64	0.02	14	0.11	4
59.41	574.89	0.01	13	0.09	4
62.24	575.12	0.04	22	0.38	4
64.8	577.24	0.02	16	0.16	4
59.19	581.11	0.01	12	0.08	4
61.37	578.74	0.02	16	0.16	4
59.11	568.81	0.03	18	0.22	4
61.45	580.9	0.02	14	0.11	4
62.61	580.13	0.02	16	0.16	4
51.81	580.72	0.01	13	0.09	4
62.78	582.81	0.01	12	0.08	4
