Tree_ID;Species;DBH_cm;Live_dead;Stump;North_m;East_m;ELEV_m;Tree_height_m;Crown_depth_m;Mean_crown_radius_m_from_center;Crown_radius_north_m_from_center;Crown_radius_east_m_from_center;Crown_radius_west_m_from_center;Crown_radius_south_m_from_center
1704;SF;63.8;D;;123.15;336.03;1117;NA;NA;NA;NA;NA;NA;NA
1709;SF;36.1;D;;115.68;336.84;1117.65;NA;NA;NA;NA;NA;NA;NA
1730;DF;30;D;Stump;147.48;353.77;1115.93;NA;NA;NA;NA;NA;NA;NA
1732;DF;50;D;Stump;144.68;354.6;1116.31;NA;NA;NA;NA;NA;NA;NA
1737;SF;60.4;D;;147.15;337.93;1113.32;NA;NA;NA;NA;NA;NA;NA
1741;SF;80.4;D;;157.48;330.17;1112.82;NA;NA;NA;NA;NA;NA;NA
1742;SF;30.4;D;;151.2;328.18;1112.93;NA;NA;NA;NA;NA;NA;NA
1743;SF;41.4;D;;153.61;323.64;1112.95;NA;NA;NA;NA;NA;NA;NA
1749;SF;15;D;;156.2;325.19;1113.07;NA;NA;NA;NA;NA;NA;NA
1753;SF;35;D;;169.7;324.22;1113.84;NA;NA;NA;NA;NA;NA;NA
1759;WH;20.6;D;;178.05;329.39;1113.79;NA;NA;NA;NA;NA;NA;NA
1760;SF;25;D;;173.59;336.44;1114.33;NA;NA;NA;NA;NA;NA;NA
1774;SF;38.8;D;;158.91;345.1;1114.13;NA;NA;NA;NA;NA;NA;NA
1776;UNK;40;D;;172.17;338.42;1114.4;NA;NA;NA;NA;NA;NA;NA
1777;UNK;25;D;;160.4;337.49;1113.74;NA;NA;NA;NA;NA;NA;NA
1782;SF;64;D;;152.45;352.71;1115.52;NA;NA;NA;NA;NA;NA;NA
1784;UNK;75;D;Stump;130.36;345.97;1117.5;NA;NA;NA;NA;NA;NA;NA
1785;UNK;35;D;Stump;133.4;346.19;1117.53;NA;NA;NA;NA;NA;NA;NA
1789;UNK;19.3;D;;178.73;338.34;1114.35;NA;NA;NA;NA;NA;NA;NA
1790;SF;15;D;;182.66;339.27;1114.23;NA;NA;NA;NA;NA;NA;NA
1795;SF;15.7;D;;189.36;334.35;1112.66;NA;NA;NA;NA;NA;NA;NA
1811;SF;37.2;D;;186.84;327.92;1112.75;NA;NA;NA;NA;NA;NA;NA
1814;GF;51.8;D;;180.06;327.11;1113.96;NA;NA;NA;NA;NA;NA;NA
1818;DF;145;D;;178.41;323.98;1114.6;NA;NA;NA;NA;NA;NA;NA
1823;SF;17;D;;172.76;323.98;1113.85;NA;NA;NA;NA;NA;NA;NA
1826;SF;12;D;;181.62;318.47;1112.96;NA;NA;NA;NA;NA;NA;NA
1827;SF;17.3;D;;183.15;315.87;1112.83;NA;NA;NA;NA;NA;NA;NA
1828;UNK;30;D;;181.59;320.48;1113.24;NA;NA;NA;NA;NA;NA;NA
1829;SF;20.2;D;;185.61;320.38;1112.38;NA;NA;NA;NA;NA;NA;NA
1830;DF;35;D;;182.65;313.48;1113.28;NA;NA;NA;NA;NA;NA;NA
1834;DF;45;D;;195.73;319.12;1109.49;NA;NA;NA;NA;NA;NA;NA
1840;SF;35.8;D;;209.68;330.35;1103.54;NA;NA;NA;NA;NA;NA;NA
1861;SF;19.8;D;;222.88;307.65;1103.38;NA;NA;NA;NA;NA;NA;NA
1943;SF;49.7;D;;191.2;196.54;1109.13;NA;NA;NA;NA;NA;NA;NA
2124;SF;13.7;D;;132.86;99.15;1109.39;NA;NA;NA;NA;NA;NA;NA
2130;DF;83.6;D;;134.58;93.08;1108.82;NA;NA;NA;NA;NA;NA;NA
2142;DF;85;D;;141.19;88.89;1108.06;NA;NA;NA;NA;NA;NA;NA
2157;SF;15.9;D;;128.14;76.25;1107.54;NA;NA;NA;NA;NA;NA;NA
2252;DF;75;D;;121.24;52.02;1106.89;NA;NA;NA;NA;NA;NA;NA
2254;SF;30.5;D;;119.33;58.6;1106.95;NA;NA;NA;NA;NA;NA;NA
2256;SF;24;D;;116.6;50.59;1106.7;NA;NA;NA;NA;NA;NA;NA
2265;SF;10;D;;128.74;48.37;1105.88;NA;NA;NA;NA;NA;NA;NA
2280;SF;26.2;D;;135.46;39.27;1105;NA;NA;NA;NA;NA;NA;NA
2289;DF;87.2;D;;141.18;48.54;1105.39;NA;NA;NA;NA;NA;NA;NA
2296;SF;44.7;D;;137.33;55.69;1105.74;NA;NA;NA;NA;NA;NA;NA
2298;DF;80;D;;140.4;54.66;1105.76;NA;NA;NA;NA;NA;NA;NA
2302;DF;18.5;D;;144.74;59.94;1105.77;NA;NA;NA;NA;NA;NA;NA
2311;SF;31.1;D;;138.38;60.18;1106.13;NA;NA;NA;NA;NA;NA;NA
2360;DF;90;D;Stump;117.28;22.84;1105.22;NA;NA;NA;NA;NA;NA;NA
2365;DF;60;D;;120.31;24.25;1105.09;NA;NA;NA;NA;NA;NA;NA
2382;DF;100;D;;129.78;17.32;1104.47;NA;NA;NA;NA;NA;NA;NA
2392;DF;70;D;;125.62;24.5;1104.75;NA;NA;NA;NA;NA;NA;NA
2394;DF;70;D;;124.2;26.38;1105.08;NA;NA;NA;NA;NA;NA;NA
2413;DF;95;D;;139.45;34.21;1104.56;NA;NA;NA;NA;NA;NA;NA
2426;DF;23.9;D;;130.77;30.54;1104.77;NA;NA;NA;NA;NA;NA;NA
9;DF;121.6;L;;90.92;221.7;1113.12;54.9;31.7;2.98;1.41;2.58;4.05;3.9
10;DF;108;L;;92.72;220.87;1113.4;55.96;29.45;1.73;1.47;1.24;2.34;1.88
11;DF;109;L;;97.7;220.87;1113.2;49.06;18.28;3.42;5.4;2.96;2.99;2.33
12;WH;72.8;L;;99.48;215.76;1113.07;44.44;38.72;4.44;4.4;3.01;5.6;4.73
17;WH;64;L;;104.57;224.64;1113.34;47.1;33.91;4.16;7.39;2.59;3.73;2.94
21;DF;111.3;L;;98.29;229.13;1113.06;54.35;14.27;2.78;2.01;1.93;3.46;3.71
22;DF;151.7;L;;103.84;230.18;1113.34;52.62;38.96;2.58;2.46;2.73;1.46;3.67
24;WH;64.8;L;;107.7;229.83;1113.33;48.2;30.42;3.04;5.21;2.98;2.04;1.96
27;WH;65.9;L;;107.67;233.64;1113.39;49.82;34.31;2.2;1.49;1.54;1.71;4.05
28;WH;65.2;L;;106.49;236.43;1113.3;48.38;26.43;4.3;6.43;5.06;1.02;4.71
29;WH;35.2;L;;104.25;239.96;1113.22;21.97;18.57;3.06;2.86;3.42;1.61;4.36
31;WH;90.6;L;;88.32;229.31;1113.53;52.73;28.9;3.35;3.94;3.17;3.3;3
32;WH;61.5;L;;84.86;231.83;1113;43.79;40.03;3.08;1.23;1.97;4.33;4.79
33;WH;63.4;L;;88.8;235.28;1113.16;50.96;38.34;3.72;4.31;4.99;2.78;2.81
38;DF;128.4;L;;83.76;238.8;1113.4;43.36;34.53;3.09;2.83;2.99;2.53;4
95;DF;115.9;L;;165.66;200.6;1111.49;50.88;26.18;3.5;3.72;3.16;3.24;3.9
96;DF;123.5;L;;167.5;208.77;1112.69;47.47;27.27;3.42;3.07;2.89;3.37;4.36
139;WH;31.6;L;;174.42;230.48;1112.04;22.79;13.45;2.47;2.34;1.45;3.28;2.8
140;WH;37.1;L;;174.64;235.69;1111.77;18.62;8.54;2.36;3.04;2.15;2.81;1.42
259;WH;53;L;;186.37;269.95;1112.02;20.6;13.89;2.66;2.44;1.5;3.58;3.13
260;WH;54.3;L;;187.67;269.54;1111.29;42.91;22.95;3;4.04;3.07;3.17;1.72
338;WH;94.9;L;;154.69;171.78;1107.17;47.71;39.62;4.93;5.55;5.78;4.15;4.23
348;SF;45.9;L;;158.16;183.5;1109.04;35.96;20.98;2.63;4.65;2.61;2.64;0.63
719;WH;62.9;L;;121.29;66.44;1106.7;40.01;29.13;3.16;2.61;2.88;3.85;3.32
772;WH;58.1;L;;80.94;47.06;1107.03;39.63;31.77;3.26;3.34;3.49;3.82;2.37
809;DF;66.2;L;;79.79;44.54;1107.03;40.28;12.74;1.69;2.35;0.75;2.17;1.49
811;WH;33.6;L;;83.52;41.84;1106.7;24.48;18.56;2.95;3.28;2.42;3.18;2.93
813;DF;81.3;L;;87.61;39.61;1106.7;45.03;20.75;2.19;2.5;1.23;2.25;2.78
870;DF;74.6;L;;86.97;31.83;1106.7;42.98;16.97;2.66;2.68;2.35;2.86;2.75
897;DF;155;L;;59.59;77.34;1107.91;49.92;20.16;2.86;2.18;2.28;3.66;3.3
943;SF;40.7;L;;78.62;46.72;1107.03;30.59;15.15;1.75;1.31;2.65;0.88;2.15
944;SF;50.6;L;;75.96;53.83;1107.03;36.71;21.18;1.95;2.43;2.86;1.06;1.44
945;WH;25.2;L;;75.77;49.87;1107.03;16.64;14.76;2.78;2.74;2.92;2.87;2.57
947;DF;106.9;L;;69.21;49.66;1107.03;51.95;25.27;3.41;3.62;3.47;3.24;3.29
948;SF;31.9;L;;68.5;54.16;1107.03;29.07;13.59;1.13;0.47;0.47;2.79;0.8
951;DF;85;L;;63.69;58.8;1107.03;48.86;32.09;2.87;3.76;3.46;2.62;1.63
952;DF;136.7;L;;60.99;58.18;1107.03;47.29;30.87;3.1;1.2;3.76;3.41;4.02
959;DF;106.8;L;;49.96;51.44;1107.85;49.17;25.48;2.74;2.16;3.78;0.78;4.24
960;DF;105;L;;54.64;82.85;1107.8;51.27;17.24;3.28;3.3;0.78;4.54;4.52
972;DF;116.1;L;;75.9;41.94;1107.03;49.68;23.92;3.91;3.16;3.74;3.66;5.09
977;SF;40.1;L;;67.61;34.98;1107.03;34.76;17.87;1.57;2.35;1.84;1.59;0.49
981;DF;106.9;L;;61.32;39.51;1107.03;40.17;17.16;2.22;2.77;1.63;2.32;2.16
985;SF;51.2;L;;55.22;43.84;1107.98;42.9;27.69;2.49;2.31;2.87;2.08;2.72
1009;NF;97.8;L;;157.88;320.72;1113.15;54.38;18.71;2.39;1.36;3.06;2.02;3.11
1039;DF;99;L;;136.64;318.49;1114.66;55.33;16.6;2.23;2.95;1.81;1.7;2.47
1040;WH;67;L;;136.24;324.21;1114.45;49.56;35.4;3.74;3.96;4.41;2.48;4.11
1042;WH;104.4;L;;132.98;316.53;1114.85;54.28;39.61;3.47;3.18;3.82;3.71;3.16
1043;WH;85.3;L;;127.23;319.81;1115.57;51.19;36.5;3.84;2.27;3.72;3.62;5.75
1044;WH;73.1;L;;126.71;327.96;1116.13;48.28;35.31;3.94;3.82;3.62;3.59;4.74
1049;WH;80.5;L;;116.37;328.4;1116.88;43.45;41.32;5.3;4.09;4.93;5.85;6.33
1056;WH;67;L;;119.29;313.54;1116.46;46.53;36.88;2.53;2.17;2.68;1.08;4.18
1059;WH;50.7;L;;121.55;313.15;1115.79;44.73;26.84;2.74;5.32;1.59;2.75;1.28
1061;WH;48.3;L;;132.62;309.65;1114.96;24.13;15.78;2.98;3.74;1.99;2.65;3.54
1068;WH;58.7;L;;119.9;304.65;1115.73;45.03;34.91;4.26;2.54;5.56;3.45;5.48
1075;WH;60.7;L;;127.41;288.91;1114.87;47.74;40.25;3.57;3.67;2.8;3.49;4.33
1078;WH;54;L;;117.95;294.64;1115.88;39.03;29.04;3.95;4.27;3.66;5.37;2.5
1079;DF;205.5;L;;116.53;293.66;1116.23;54.08;24.72;5.92;5.81;3.99;5.36;8.51
1080;DF;85;L;;115.46;297.16;1115.98;50.59;18.91;2.12;0.43;2.31;1.63;4.09
1081;DF;120.5;L;;115.97;301.02;1116.66;62.42;28.9;3.6;6.43;3.48;2.52;1.96
1082;DF;150.5;L;;115.02;302.86;1116.41;59.89;31.27;3.21;4.07;3.69;2.19;2.9
1083;WH;84.9;L;;111.34;303.75;1116.39;44.4;39.6;4.04;2.98;4.53;4.07;4.56
1103;DF;130.6;L;;106.49;283.77;1115.46;52.9;36.5;4;2.72;4.07;3.84;5.36
1111;SF;36.4;L;;110.59;290.42;1115.59;27.62;19.9;1.62;1.16;1.34;1.29;2.69
1129;DF;154.1;L;;114.12;276.89;1115.71;45.58;25.9;4.21;4.29;4.5;3.45;4.6
1130;WH;21.3;L;;110.78;274.19;1115.12;14.38;12.78;2.73;2.32;3.09;2.12;3.39
1136;WH;72.9;L;;101.49;280.43;1115.55;45.86;35.72;2.85;1.97;2.86;3.11;3.47
1142;SF;44;L;;114.54;270.59;1115.01;40.21;16.56;1.63;0.87;1.38;1.81;2.45
1143;SF;51.1;L;;118.11;267.01;1113.85;34.91;17.67;2.68;2.14;1.94;3.94;2.7
1145;DF;99.2;L;;108.42;268.87;1115.06;46.46;22.73;2.69;2.74;2.34;2.57;3.13
1155;SF;20.4;L;;96.05;270.98;1114.92;14.74;14.01;1.44;1.25;2.06;0.51;1.94
1164;WH;63.4;L;;103.79;260.73;1114.22;44.85;43.04;3.31;3.05;3.08;3.23;3.87
1171;DF;144.5;L;;115.94;255.08;1114.27;54.43;22.68;4.34;4.37;4.17;4.17;4.65
1177;DF;122.5;L;;105.72;249.62;1114.09;55.05;27.25;3.41;3.52;2.86;2.68;4.59
1180;WH;61.9;L;;100.38;242.46;1113.98;47.84;38.69;3.17;2.77;3.2;3.53;3.17
1181;DF;93;L;;99.99;246.03;1113.72;52.76;20.33;2.58;3.08;2.55;2.32;2.35
1185;WH;63.5;L;;97.69;250.39;1113.69;46.46;37.58;3.38;3.99;2.67;2.47;4.4
1188;DF;131.5;L;;93.98;245.16;1113.57;57.45;23.31;3.19;3.38;2.32;2.34;4.73
1189;DF;189.8;L;;96.71;258.74;1114.05;56.43;40.01;3.89;3.83;3.57;4.13;4.03
1201;WH;59.4;L;;85.79;245.4;1113.71;39.67;31.96;3.47;3.5;3.6;3.09;3.68
1213;DF;117.2;L;;98.5;205.92;1113.37;54.94;32.26;3.98;3.53;4.57;3.55;4.27
1216;WH;42.1;L;;98.14;201.27;1112.57;20.37;16.93;2.65;1.68;3.18;0.41;5.32
1217;WH;62.9;L;;92.64;198;1112.43;47.47;33.23;3.09;3.25;3.17;2.66;3.27
1219;WH;22.1;L;;87.24;198.43;1111.9;13.14;10.12;0.94;1;1.92;0.57;0.26
1221;WH;100.5;L;;82.64;199.89;1111.56;45.12;30.24;2.92;3.59;3.46;2.57;2.09
1224;DF;140.2;L;;77.81;200.36;1111.67;62.87;47.7;2.97;3.14;2.71;3.09;2.96
1225;DF;149.9;L;;72.32;200.89;1111.8;53.93;41.14;3.66;2.04;2.88;4.07;5.62
1226;WH;51;L;;70.82;191.67;1110.86;27.46;26.78;2.37;2.12;1.84;2.27;3.26
1229;WH;83.9;L;;82.52;190.15;1111.45;47.98;34.68;3.06;2.59;1.65;4.11;3.88
1231;WH;72.8;L;;88.4;194.73;1111.93;50.21;34.52;3.33;4.27;4.25;2.01;2.77
1239;DF;100.8;L;;90.78;185.83;1111.51;46.06;14.59;2.33;1.22;2.87;2.37;2.87
1241;DF;89.8;L;;92.61;183.14;1111.4;51.29;16.06;2.49;2.62;2.75;2.9;1.68
1242;WH;54;L;;85.53;195.22;1111.74;39.11;30.42;2.38;3.5;1.32;2.16;2.54
1244;WH;61.6;L;;83.69;181.67;1111.12;48.08;44.74;3.03;2.89;2.99;1.95;4.31
1245;WH;47.9;L;;84.08;180.51;1110.94;35.24;26.95;2.06;1.82;0.65;2.35;3.42
1247;WH;51.3;L;;85.14;177.02;1110.76;39.77;35.26;3.26;3.25;1.67;4.42;3.68
1248;DF;102.8;L;;88.45;178.72;1111.27;44.64;27.44;1.9;1.76;1.43;2.37;2.06
1256;SF;26.3;L;;83.77;161.13;1109.98;23.41;15.69;1.58;0.83;2.02;1.92;1.54
1264;DF;117;L;;72.31;166.48;1110.47;59.74;47.56;2.77;2.01;4.37;1.73;2.97
1269;DF;117.5;L;;63.58;160.99;1109.34;48.41;39.49;3.51;2.4;3.37;4.66;3.6
1270;DF;95.6;L;;76.73;156.56;1109.38;50.5;21.72;3.72;4.16;4.21;3.17;3.37
1274;DF;90.6;L;;65.35;153.87;1109.23;50.51;42.32;2.09;1.89;1.58;1.96;2.93
1276;WH;50.2;L;;69.29;157.3;1109.44;33;32.34;3.28;2.56;5.56;3.53;1.47
1279;WH;30.5;L;;72.8;154.86;1109.42;14.88;9.6;1.09;0.15;2.99;0.15;1.09
1280;WH;63.9;L;;72.88;152.37;1109.42;38.77;34.11;3.21;4.54;2.84;2.61;2.84
1283;WH;73.5;L;;80.09;140.37;1109.22;43.96;41.11;3.72;3.88;2.99;4.72;3.3
1285;DF;131.4;L;;74.23;142.17;1109.22;60.17;27.9;2.54;1.79;5.09;1.03;2.22
1289;WH;53.8;L;;70.77;147.82;1108.7;30.7;21.28;3.27;2.47;1.74;3.67;5.22
1291;DF;80.2;L;;67.43;144.03;1108.83;44.17;14.72;2.43;2.83;0.7;4.08;2.1
1294;DF;104.4;L;;57.07;147.98;1108.64;52.84;42.74;3.09;2.54;3;3.05;3.79
